timestamp(ms),accel_magnitude,gyro,gyro_x,gyro_y,gyro_z,imu_moving,test_target,test_mode,
"1769473667.76",,,,,,"0",,,
"1769473667.953","0.99",,,,,,,,
"1769473667.956",,,"0.12",,,,,,
"1769473667.959",,,,"-0.24","-0.61",,,,
"1769473667.96",,,,,,"0",,,
"1769473668.153","0.99",,,,,,,,
"1769473668.156",,,"-0.3",,,,,,
"1769473668.159",,,,"-0.06","-0.3",,,,
"1769473668.16",,,,,,"0",,,
"1769473668.353","1",,,,,,,,
"1769473668.356",,,"-0.73",,,,,,
"1769473668.359",,,,"-0.18",,,,,
"1769473668.36",,,,,"-0.61",,,,
"1769473668.361",,,,,,"0",,,
"1769473668.553","0.99",,,,,,,,
"1769473668.556",,,"-0.67",,,,,,
"1769473668.559",,,,"-0.12","-0.85",,,,
"1769473668.561",,,,,,"0",,,
"1769473668.753","0.99",,,,,,,,
"1769473668.757",,,"-0.12",,,,,,
"1769473668.758",,,,"-0.12",,,,,
"1769473668.759",,,,,"-0.98",,,,
"1769473668.76",,,,,,"0",,,
"1769473668.953","0.99",,,,,,,,
"1769473668.956",,,"-0.61",,,,,,
"1769473668.958",,,,"0.06",,,,,
"1769473668.959",,,,,"-1.46","0",,,
"1769473669.153","0.99",,,,,,,,
"1769473669.156",,,"-0.55",,,,,,
"1769473669.158",,,,"0.37","-1.16",,,,
"1769473669.159",,,,,,"0",,,
"1769473669.353","0.99",,,,,,,,
"1769473669.357",,,"-0.37",,,,,,
"1769473669.359",,,,"0.61",,,,,
"1769473669.36",,,,,"-0.98",,,,
"1769473669.362",,,,,,"0",,,
"1769473669.553","0.99",,,,,,,,
"1769473669.556",,,"-0.61",,,,,,
"1769473669.559",,,,"0.18","-1.4",,,,
"1769473669.561",,,,,,"0",,,
"1769473669.753","1",,,,,,,,
"1769473669.756",,,"-0.3",,,,,,
"1769473669.758",,,,"0.06",,,,,
"1769473669.759",,,,,"-0.73",,,,
"1769473669.76",,,,,,"0",,,
"1769473669.953","1.01",,,,,,,,
"1769473669.956",,,"-0.49",,,,,,
"1769473669.958",,,,"0.55",,,,,
"1769473669.959",,,,,"-1.16",,,,
"1769473669.96",,,,,,"0",,,
"1769473670.153","1",,,,,,,,
"1769473670.156",,,"-0.43",,,,,,
"1769473670.159",,,,"0.06","-0.91",,,,
"1769473670.16",,,,,,"0",,,
"1769473670.353","0.99",,,,,,,,
"1769473670.356",,,"0",,,,,,
"1769473670.359",,,,"0.3",,,,,
"1769473670.36",,,,,"-0.73","0",,,
"1769473670.553","0.99",,,,,,,,
"1769473670.556",,,"-0.24",,,,,,
"1769473670.558",,,,"-0.06",,,,,
"1769473670.559",,,,,"-0.85",,,,
"1769473670.56",,,,,,"0",,,
"1769473670.753","0.99",,,,,,,,
"1769473670.756",,,"-0.49",,,,,,
"1769473670.759",,,,"0","-0.91",,,,
"1769473670.76",,,,,,"0",,,
"1769473670.953","0.99",,,,,,,,
"1769473670.956",,,"-0.55",,,,,,
"1769473670.958",,,,"0.24","-0.91",,,,
"1769473670.961",,,,,,"0",,,
"1769473671.153","1",,,,,,,,
"1769473671.156",,,"-0.06",,,,,,
"1769473671.158",,,,"0.61","-0.91",,,,
"1769473671.16",,,,,,"0",,,
"1769473671.353","0.99",,,,,,,,
"1769473671.356",,,"-0.24",,,,,,
"1769473671.358",,,,"-0.37","-0.79",,,,
"1769473671.36",,,,,,"0",,,
"1769473671.553","0.99",,,,,,,,
"1769473671.556",,,"-0.37",,,,,,
"1769473671.558",,,,"-0.06","-1.4",,,,
"1769473671.56",,,,,,"0",,,
"1769473671.753","1",,,,,,,,
"1769473671.756",,,"-0.79",,,,,,
"1769473671.758",,,,"-0.18",,,,,
"1769473671.759",,,,,"-0.67",,,,
"1769473671.761",,,,,,"0",,,
"1769473671.953","0.97",,,,,,,,
"1769473671.956",,,"-0.12",,,,,,
"1769473671.958",,,,"0.49","-0.79",,,,
"1769473671.96",,,,,,"0",,,
"1769473672.156","0.99",,,,,,,,
"1769473672.157",,,"0.06",,,,,,
"1769473672.16",,,,"0.67",,,,,
"1769473672.161",,,,,"-0.55","0",,,
"1769473672.353","0.99",,,,,,,,
"1769473672.356",,,"-0.06",,,,,,
"1769473672.358",,,,"0.37","-0.85",,,,
"1769473672.36",,,,,,"0",,,
"1769473672.553","1",,,,,,,,
"1769473672.556",,,"-0.24",,,,,,
"1769473672.558",,,,"0.3","-1.1",,,,
"1769473672.56",,,,,,"0",,,
"1769473672.753","0.99",,,,,,,,
"1769473672.757",,,"-0.85",,,,,,
